index,phase,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,keff,keff_std,ppf,score
20,BO_11,0.2289835809212376,0.774697503406132,0.057225129572489375,0.522681475244316,0.3229043204369695,0.8137475973057582,0.71170030918855,0.4108425761907756,0.1336160195740823,0.5575609892478218,0.8614087340931839,0.5877131587505222,0.16439553078839442,0.43024452372103095,0.9661965085912728,0.6040781082945783,0.9257846994079559,0.9878051029304253,0.2882642521679155,0.8926342083917663,0.08394701411047645,1.2729774366305044,0.001896960050029796,1.1139763804903373,-44.114887183152526
21,BO_12,0.4136754104003737,0.9151111891057583,0.6482219018491323,0.9228843350725219,0.6816603833697605,0.9795108862972555,0.9903731730667609,0.20109207436240217,0.08876300609741805,0.6602498728084868,0.5318659488758574,0.41002820596806544,0.4519567302265344,0.6999363400340273,0.8539026948324243,0.03858474716804705,0.8965473829408466,0.7257777249470606,0.9019633013018816,0.17574970611071095,0.07768411801851272,1.2685089592065164,0.002086279149967347,1.1074892098064733,-48.092544796032584
22,BO_13,0.5157182504415859,0.9786325529002022,0.9003960535375373,0.4190922138521975,0.511298585065502,0.64073664001913,0.9086239614544359,0.9288449143895922,0.27947325071481377,0.6021588134310623,0.6238511002748847,0.43288449653265315,0.9134506276131722,0.6609460709699368,0.339515800821067,0.32162476321741906,0.9070024388280008,0.9889145314330967,0.2435749834205666,0.2843897090350609,0.26901476647615996,1.2706287792711128,0.00229718598177689,1.1261200270859109,-56.10314389635556
23,BO_14,0.045678621939671094,0.9045132188981687,0.37237170921185314,0.13409686272253485,0.6584452878007925,0.8313177287443033,0.9182205412725869,0.04055920433031557,0.868689480789799,0.3388806905035042,0.16378997271914209,0.2681479705926245,0.82034597225601,0.2569711164657351,0.5321688348230051,0.159762642341855,0.861775235083845,0.9060625000843808,0.13650318709024967,0.14639864179554218,0.08963945709659404,1.2646159880942602,0.002142876532065514,1.1115878971659088,-52.0730799404713
24,BO_15,0.27109092248221345,0.8214007039780147,0.43541335350421295,0.5300088756273477,0.1366018260130154,0.05779099990552461,0.9085353956978395,0.06221000451493086,0.0508092009907577,0.029997242414069536,0.9839693581823159,0.32484624143610075,0.4849221241787641,0.7226769268534539,0.6522425849796667,0.017542563597824468,0.9002716504662887,0.5482554402395724,0.5731874492501214,0.22686943589160902,0.2779232805850802,1.2704326168819222,0.0022021296118477215,1.1063229128961205,-52.10216308440961
25,BO_16,0.004689936597951916,0.4878352793554819,0.6151861904846863,0.573497919527104,0.7523276928743525,0.3509882588630747,0.8930172296792143,0.4278498038953775,0.6867937034883964,0.17638471345910922,0.9313369995817198,0.6838951165153471,0.36639337333280153,0.6284964658541097,0.7608887187023656,0.8854086284610441,0.894748578308387,0.7839905806727088,0.8019774663463723,0.8560985313489249,0.03000018196148513,1.269988775597614,0.0020310487686479167,1.1279491063655807,-48.09994387798807
26,BO_17,0.1689672706134625,0.9439712234775164,0.5676691825322354,0.785898399774763,0.05201447333731124,0.871360166481034,0.9136541661947404,0.8499767200587669,0.4696482650504712,0.30827975833487664,0.9215244361512788,0.5869857224464097,0.6365113296341619,0.7323272009622098,0.577291191124938,0.8919883301443117,0.863698450009248,0.847905503701506,0.528611013527321,0.968937816080489,0.038974368369421364,1.2698171018453464,0.0020767763948534293,1.1016233096544685,-40.09908550922673
27,BO_18,0.08019608736379868,0.4134141293168868,0.059320287091283785,0.21899488003103218,0.7231088222709955,0.8316981350007682,0.8546364487019803,0.5105342479628506,0.1366139816048345,0.40100045258795214,0.8916885092363949,0.5990694557144106,0.4922026290567284,0.048747439754854405,0.3705635770357514,0.1648577753844801,0.8180925605801196,0.8821659393143184,0.12711962096525764,0.8082005537726759,0.02601991970211659,1.2756779134660992,0.0017113075647998588,1.1080633137907194,-44.128389567330494
28,BO_19,0.9734478988182179,0.03285343668462248,0.5453560668475234,0.8368683864045413,0.22004786246384478,0.35479594749893184,0.0011017788713221233,0.5874322811238524,0.2270954383827678,0.16037454144475372,0.3040937792648235,0.05674575108885105,0.33359104250263794,0.8288750433779488,0.5847839914443455,0.7245823115185762,0.06264095281057347,0.06806523952057042,0.7854383692385087,0.8888539941432734,0.9834216933087032,1.2725342582487897,0.0017806888558912525,1.1228809505562358,-56.11267129124395
29,BO_20,0.025481507805431014,0.19831120333026087,0.8616196539525285,0.6237390763462204,0.22660243003921376,0.7934347973895486,0.036198544725493775,0.820833534619344,0.6953493691295124,0.06494385212845044,0.038612565405049315,0.8933289732531849,0.6011117962346325,0.652149847731103,0.4460618365241523,0.44066617231608074,0.9983964717376208,0.7972387764825156,0.8763122859503177,0.8704710257945902,0.9245819679028572,1.267792503691645,0.0019848778477798814,1.1415232286466306,-56.088962518458224
30,BO_21,0.01109543989603623,0.9179828536005681,0.9515672618461822,0.03751659513569172,0.7674899515184561,0.9244845136897559,0.13408954257925376,0.9777873184098099,0.46728018340664446,0.029996356860216844,0.11111131775205385,0.1945598374970502,0.4157919094960446,0.3527249671169761,0.4963956295981785,0.13537729724373715,0.021347946484598368,0.27060231800237844,0.6962248850971413,0.22400945881134526,0.03046758592340071,1.2697632934725895,0.001686386906021875,1.1055082367265856,-64.09881646736295
31,BO_22,0.60489654214846,0.8954792840778707,0.599510146449946,0.07053655896825073,0.791168543019287,0.6323919761637987,0.8672116122457982,0.696337853392742,0.07333743299924256,0.9801971928196914,0.8556047437012044,0.6287245891895026,0.18845861818887089,0.6131176242459553,0.1957003002306713,0.23115908732045176,0.8883961518275447,0.9269125770402789,0.32851481743966815,0.8214278930058757,0.12257007407580944,1.2683603433767674,0.0016054138409091008,1.1037890386730977,-44.091801716883836
32,BO_23,0.07788161217583467,0.6647806479265093,0.7851171302629298,0.07944901168434848,0.3452411280025758,0.004580929359099151,0.9577046622960995,0.7012631522983399,0.681231764644504,0.281510742988746,0.8438062650635076,0.35071430327615694,0.5621237403333498,0.6636122613738759,0.7279892704279612,0.1515323735634868,0.9979639107498816,0.5209226266389437,0.009693880784197528,0.5453240945270786,0.13070862194748634,1.2706253265712164,0.002013135311252082,1.1152056678770081,-48.10312663285608
33,BO_24,0.07420689232140976,0.8419941282189695,0.2452050520940512,0.3680087315675077,0.8513039944098014,0.7815315904047271,0.15994668431638648,0.29063233975438896,0.7256626335816183,0.5940455772179876,0.6537199095398851,0.29998909910719596,0.453503308021054,0.046946113822458724,0.10522670138571366,0.5056135196660788,0.48633536024971413,0.9718988926555452,0.017429159104389358,0.9857335759654692,0.10996640551465142,1.2720433764835897,0.002477613412671566,1.1028791132934215,-52.11021688241795
34,BO_25,0.10097957843552385,0.7635354592160192,0.9480312979746415,0.7745628344215029,0.3156474404672519,0.34709314669772817,0.8396771840161231,0.2238359627387687,0.7712909031079241,0.13581303996374716,0.8986919594512446,0.4384632304999926,0.9563514778368942,0.5749082036148083,0.859868015691159,0.08569625495628519,0.9603226372052394,0.9012606934960433,0.8114961283046651,0.5429535589378522,0.18745247367056483,1.270252483579942,0.002517134021502837,1.1026540058812313,-48.10126241789971
35,BO_26,0.08870498702958629,0.41517558766691176,0.3128009157355083,0.058488168229804294,0.13587944359141546,0.5032096386024282,0.9775351609761208,0.745359070026046,0.8833918423485266,0.4027609851765762,0.39941361629092353,0.8740747609885765,0.7295575873318161,0.5032802789506045,0.12452196557111717,0.3924266837376169,0.7941883085005675,0.8069842664464504,0.6495393027653943,0.8692169038518732,0.06359971500051775,1.2697725067291323,0.0016517739147787452,1.1273469321955192,-60.098862533645665
36,BO_27,0.10853262681043141,0.9647614690816501,0.6247721762943605,0.10273601049199277,0.16806217280352787,0.3384498806381788,0.9528374544142584,0.6071009846375706,0.07131761342849474,0.8318624645043746,0.4157193915864428,0.36979440457990775,0.13720871653720312,0.5168038688969925,0.1347514203628305,0.4272402996168675,0.7640963324014386,0.9995328426278933,0.34783789726640557,0.8299418235923218,0.1830866812766112,1.2705710514541229,0.0022601276739903763,1.1117407958947159,-44.10285525727061
37,BO_28,0.11478775814235731,0.7264321204835226,0.4843108146339882,0.765087785695424,0.48858305818748404,0.8018779617572726,0.9381712873443862,0.08551445006748204,0.81628885782584,0.8246500837199378,0.9260632993993881,0.36378435756646,0.13245742573068853,0.40475157449284094,0.09370078386172564,0.06841530217585146,0.5453251223980594,0.5726515441550184,0.8822314823887109,0.9867008533448537,0.5447524886302496,1.271578040672568,0.0018835478174510942,1.1126607904815942,-48.10789020336284
38,BO_29,0.19358994471859936,0.8456228270322709,0.9856920452111253,0.260914771313706,0.5492510759405257,0.9082248776506563,0.47829899146871924,0.4674745388359417,0.367715786395137,0.716073080053016,0.9847391593762245,0.2637702978638693,0.058856251671791204,0.5735756349347437,0.06851179650443529,0.6589744764774077,0.94243022414768,0.6807299973364618,0.2954016729174481,0.8083751979802422,0.09112496703850059,1.268510844139329,0.0020925028733065616,1.1123699106729368,-44.09255422069664
39,BO_30,0.04114244449933013,0.9410735153372377,0.19332293913910348,0.15551622078635785,0.8278438807239037,0.13977412738943773,0.7741117131699854,0.3111682924505772,0.0123636049040462,0.03193083645438921,0.8605158459187183,0.8278763721616729,0.3594087257220666,0.7944931105432943,0.22583008893700052,0.37804351892897525,0.8635446897193413,0.7162367175262305,0.47180956174678623,0.5592272036853256,0.028524324923884015,1.270303807053797,0.001984354991133445,1.1291132176109182,-48.101519035268986
