index,generation,individual,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
1563,24,45,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154447,1.113718320875593,36.19443240215445
1564,24,46,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1.2662625244717016,1.124035362260959,32.16262524471701
1565,24,47,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1.265711019348677,1.1192662779869833,44.15711019348677
1566,24,48,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1.2745540671431566,1.1320183345172012,52.24554067143156
1567,24,49,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1.2722697291961165,1.117673418225336,56.22269729196117
1568,24,50,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.2696002831413387,1.112778322687917,48.19600283141339
1569,24,51,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154254,1.1137183208755932,36.194432402154256
1570,24,52,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1.2688804869254995,1.121744895830992,40.188804869254994
1571,24,53,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.2696002831413344,1.112778322687917,48.196002831413345
1572,24,54,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2706224053861086,1.11164291844865,40.206224053861085
1573,24,55,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153957,1.1137183208755927,36.19443240215396
1574,24,56,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215463,1.1137183208755934,36.19443240215463
1575,24,57,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153932,1.113718320875593,36.194432402153936
1576,24,58,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154099,1.1137183208755932,36.1944324021541
1577,24,59,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215395,1.1137183208755932,36.19443240215395
1578,24,60,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215441,1.113718320875593,36.19443240215441
1579,24,61,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1.2708505860688706,1.1135916375258799,48.2085058606887
1580,24,62,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154376,1.1137183208755932,36.194432402154376
1581,24,63,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154243,1.113718320875593,36.19443240215424
1582,24,64,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1.270853231191717,1.1240766992583524,48.20853231191717
1583,24,65,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1.2725906814828436,1.1093569525617817,48.225906814828434
1584,25,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331394951,1.1489746846194062,24.169336331394952
1585,25,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.266933633139494,1.1489746846194067,24.16933633139494
1586,25,2,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331395185,1.1489746846194067,24.169336331395186
1587,25,3,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1.2792742734073426,1.1116514289833868,68.29274273407343
1588,25,4,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215472,1.1137183208755927,36.19443240215472
1589,25,5,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1.267767174272978,1.0983368335235029,52.17767174272978
1590,25,6,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1.2760195007207675,1.1312522464555748,44.26019500720768
1591,25,7,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215415,1.1137183208755927,36.19443240215415
1592,25,8,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215444,1.1137183208755932,36.19443240215444
1593,25,9,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1.2700457471361803,1.1215863604036265,40.2004574713618
1594,25,10,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1.2737068160338316,1.140700659317909,48.23706816033832
1595,25,11,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154354,1.1137183208755932,36.194432402154355
1596,25,12,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1.2724751558404062,1.1109517169543017,52.22475155840406
1597,25,13,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1.2809433561027441,1.1041210727981232,56.30943356102744
1598,25,14,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154523,1.1137183208755932,36.194432402154526
1599,25,15,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1.271222393416665,1.1094874250709736,40.21222393416665
1600,25,16,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1.272996508402442,1.1122563767225224,52.22996508402442
1601,25,17,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154405,1.113718320875593,36.194432402154405
1602,25,18,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1.2732426710052025,1.1073257032711241,56.232426710052025
1603,25,19,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1.2756719415817075,1.1489398852537178,48.256719415817074
1604,25,20,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215459,1.1137183208755932,36.19443240215459
1605,25,21,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154205,1.113718320875593,36.194432402154206
1606,25,22,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153952,1.1137183208755927,36.19443240215395
1607,25,23,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1.2734942799697622,1.1178533937682218,48.23494279969762
